"City_locality","iso3","country","super_region","super_region_name","pm25","sat_2014","log_pm25","log_sat","cluster_region"
"LUNEVILLE","FRA","France",1,"HighIncome",12,15.6725063323975,2.484906649788,2.75190798821105,2
"Luoyang","CHN","China",6,"SE-Asia/E-Asia/Oceania",56.1428571428571,73.2978515625,4.02789946281395,4.29453129826524,3
"LUSTENAU","AUT","Austria",1,"HighIncome",15,16.9890003204346,2.70805020110221,2.83256609466107,2
"LUXEMBOURG","LUX","Luxembourg",1,"HighIncome",17.3333333333333,15.1901693344116,2.85263142991332,2.72064846430141,2
"LUZERN","CHE","Switzerland",1,"HighIncome",14,16.4160003662109,2.63905732961526,2.79825649129653,2
"Luzhou","CHN","China",6,"SE-Asia/E-Asia/Oceania",49.75,81.6667366027832,3.9070104636046,4.40264677823686,3
"LYKOVRISI","GRC","Greece",1,"HighIncome",16,19.7065010070801,2.77258872223978,2.9809485816652,2
"Lynchburg, VA","USA","United States of America",1,"HighIncome",8,6.52399969100952,2.07944154167984,1.87548763739665,2
"LYON","FRA","France",1,"HighIncome",14.5,15.5274972915649,2.67414864942653,2.74261247102303,2
"M_DLING","AUT","Austria",1,"HighIncome",15,18.877498626709,2.70805020110221,2.93797066394794,2
"M_NCHENGLADBACH","DEU","Germany",1,"HighIncome",15,16.4174995422363,2.70805020110221,2.79834781120032,2
"M´è_´è__LHEIM","DEU","Germany",1,"HighIncome",15,16.7030010223389,2.70805020110221,2.81558840521471,2
"M´è_´è__NCHEN","DEU","Germany",1,"HighIncome",15,18.8411674499512,2.70805020110221,2.93604423378629,2
